Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
DELETE,[legit] DELETE /items/:id,64,0,6,8.883492125164594,2.4255419994005933,127.96937500024796,0.0,1.0800307566937672,0.0,6,6,7,8,15,21,47,130,130,130,130
GET,[legit] GET /sections/:id/items,332,0,5,7.866672704763169,1.7335000011371449,219.39158300301642,4921.6626506024095,5.602659550348918,0.0,5,6,8,9,13,21,34,60,220,220,220
POST,[legit] POST /items (add),241,0,6,10.629971755210347,2.1315830017556436,179.16645900186268,258.79253112033194,4.066990818174967,0.0,6,7,8,10,21,32,88,100,180,180,180
PUT,[legit] PUT /items/:id (update),144,0,5,11.110679402615157,2.0503340019786265,225.20329200051492,260.8611111111111,2.4300692025609765,0.0,6,7,8,10,17,24,84,150,230,230,230
POST,[setup] create section,10,0,1,9.722433400384034,0.6515829991258215,82.88408399675973,176.8,0.16875480573340113,0.0,2,2,2,3,83,83,83,83,83,83,83
POST,[setup] create seed item,30,0,2,2.88593476677003,0.5787500012957025,16.78337499834015,259.93333333333334,0.5062644172002034,0.0,2,2,3,4,6,14,17,17,17,17,17
DELETE,[unauth] DELETE /items/:id,28,0,3,5.139663678164652,1.7706250000628643,32.82716700050514,33.0,0.4725134560535232,0.0,3,4,6,6,9,11,33,33,33,33,33
GET,[unauth] GET /sections/:id/items,64,0,4,8.443775343721427,1.2816669986932538,70.47325000166893,12.0,1.0800307566937672,0.0,4,5,6,9,17,38,55,70,70,70,70
POST,[unauth] POST /items (add),67,0,4,7.108213313409551,1.6905830016185064,62.6610420003999,33.0,1.1306571984137876,0.0,4,6,7,8,15,21,30,63,63,63,63
PUT,[unauth] PUT /items/:id (update),36,0,5,9.997711805933957,2.7214170004299376,147.71020899934229,33.0,0.6075173006402441,0.0,5,7,8,9,12,17,150,150,150,150,150
,Aggregated,1016,0,5,8.903860590531464,0.5787500012957025,225.20329200051492,1721.0452755905512,17.145488262513556,0.0,5,6,8,9,15,24,55,84,220,230,230
